Date;Site;Type;Mean;Sd
1987;Tektite;CTB;25.8266666666667;16.1546818949318
1987;Tektite;Macroalgae;5.87333333333333;3.64104317501164
1987;Tektite;Scleractinian;32.22;13.8210334460648
1987;Yawzi;CTB;35.3793103448276;19.9769220300101
1987;Yawzi;Macroalgae;2.21379310344828;2.30507578709171
1987;Yawzi;Scleractinian;44.6172413793103;18.5471420394764
1988;Tektite;CTB;24.0848101265823;11.658232357191
1988;Tektite;Macroalgae;9.43037974683544;8.03113100618829
1988;Tektite;Scleractinian;33.9569620253165;13.2451895819819
1988;Yawzi;CTB;26.12;16.7646803868901
1988;Yawzi;Macroalgae;4.655;5.62787930074276
1988;Yawzi;Scleractinian;43.7216666666667;17.8307874258539
1989;Tektite;CTB;26.3;10.0271664889245
1989;Tektite;Macroalgae;6.88333333333333;6.90698900933983
1989;Tektite;Scleractinian;37.075;15.0630947030781
1989;Yawzi;CTB;20.08125;12.246070255479
1989;Yawzi;Macroalgae;10.8145833333333;16.2841521912764
1989;Yawzi;Scleractinian;39.1965517241379;21.3336729593353
1990;Tektite;CTB;22.9;7.53314515073677
1990;Tektite;Macroalgae;12.05;11.5373082978059
1990;Tektite;Scleractinian;38.86;14.8902328552229
1990;Yawzi;CTB;19.7758620689655;11.6914087863211
1990;Yawzi;Macroalgae;29.3448275862069;27.9432152026582
1990;Yawzi;Scleractinian;33.1034482758621;22.6807735248322
1991;Tektite;CTB;18.8666666666667;6.98388950683487
1991;Tektite;Macroalgae;5.31666666666667;8.15632115065632
1991;Tektite;Scleractinian;39.0366666666667;14.5573416323963
1991;Yawzi;CTB;40.5166666666667;19.3223487423124
1991;Yawzi;Macroalgae;6.6;6.53689792506802
1991;Yawzi;Scleractinian;30.7666666666667;21.7702475447782
1992;Tektite;CTB;22.4444444444444;9.05358052161894
1992;Tektite;Macroalgae;3.02777777777778;3.49567893860836
1992;Tektite;Scleractinian;37.5277777777778;12.9483955651817
1992;Yawzi;CTB;45.715;26.9953655866687
1992;Yawzi;Macroalgae;3.79;7.21379526360869
1992;Yawzi;Scleractinian;31.435;21.7299036014041
1993;Tektite;CTB;17.2433333333333;8.77785942539262
1993;Tektite;Macroalgae;4.94;3.89505433541845
1993;Tektite;Scleractinian;39.14;19.5832018092918
1993;Yawzi;CTB;40.7433333333333;24.1683561042453
1993;Yawzi;Macroalgae;9.62333333333333;9.45762539757838
1993;Yawzi;Scleractinian;31.8066666666667;22.0649657294925
1994;Tektite;CTB;11.9766666666667;9.00175014911692
1994;Tektite;Macroalgae;10.0266666666667;9.34303846808371
1994;Tektite;Scleractinian;39.83;17.4850310364273
1994;Yawzi;CTB;25.4233333333333;14.9553515582177
1994;Yawzi;Macroalgae;17.2333333333333;16.8853810129953
1994;Yawzi;Scleractinian;35.74;23.9029589857796
1995;Tektite;CTB;14.7166666666667;10.9282008909355
1995;Tektite;Macroalgae;7.4;6.8498678567672
1995;Tektite;Scleractinian;38.85;11.7957838756642
1995;Yawzi;CTB;33.6833333333333;17.9123745192964
1995;Yawzi;Macroalgae;13.0333333333333;14.1573261973252
1995;Yawzi;Scleractinian;29.7433333333333;19.0300249756723
1996;Tektite;CTB;12.6645161290323;8.71919523760065
1996;Tektite;Macroalgae;12.7870967741935;9.7669763978925
1996;Tektite;Scleractinian;38.9193548387097;17.4820177964833
1996;Yawzi;CTB;33.4466666666667;17.7297282654816
1996;Yawzi;Macroalgae;24.6666666666667;19.9545575700413
1996;Yawzi;Scleractinian;20.9533333333333;21.4430075948465
1997;Tektite;CTB;9.88333333333333;5.76805012971026
1997;Tektite;Macroalgae;10.35;9.76371714122204
1997;Tektite;Scleractinian;41.6666666666667;14.4576273470354
1997;Yawzi;CTB;21.5;14.7753289245142
1997;Yawzi;Macroalgae;52.3666666666667;34.1479876050005
1997;Yawzi;Scleractinian;23.5;24.3823706804732
1998;Tektite;CTB;13.65;6.89971263769431
1998;Tektite;Macroalgae;12.8333333333333;10.8439823876189
1998;Tektite;Scleractinian;43.3766666666667;14.5014073831457
1998;Yawzi;CTB;27.25;13.572760499847
1998;Yawzi;Macroalgae;25.9;17.4614847099513
1998;Yawzi;Scleractinian;20.2133333333333;20.9706154569597
1999;Tektite;CTB;12.69;7.18697816696376
1999;Tektite;Macroalgae;17.4433333333333;12.4675491420405
1999;Tektite;Scleractinian;43.48;15.5980414331968
1999;Yawzi;CTB;23.2766666666667;10.2667082772705
1999;Yawzi;Macroalgae;38.0066666666667;16.4178190271788
1999;Yawzi;Scleractinian;11.87;14.2804218521675
2000;Tektite;CTB;13.57;9.26815645842964
2000;Tektite;Macroalgae;18.69;10.9115361287793
2000;Tektite;Scleractinian;43.09;17.12262769876
2000;Yawzi;CTB;18.9433333333333;10.141743145189
2000;Yawzi;Macroalgae;36.8133333333333;20.6656425404388
2000;Yawzi;Scleractinian;11.9333333333333;17.6940148332576
2001;Tektite;CTB;15.3666666666667;8.51924123759668
2001;Tektite;Macroalgae;10.5433333333333;7.37005513165798
2001;Tektite;Scleractinian;43.7833333333333;15.4536700993722
2001;Yawzi;CTB;43.28;20.5418563442783
2001;Yawzi;Macroalgae;25.4466666666667;15.281919299331
2001;Yawzi;Scleractinian;11.6133333333333;16.3343035132927
2002;Tektite;CTB;18.24;10.3145561690999
2002;Tektite;Macroalgae;15.48;10.6879371255636
2002;Tektite;Scleractinian;48.7633333333333;15.8321036425084
2002;Yawzi;CTB;34.3466666666667;10.3582961364587
2002;Yawzi;Macroalgae;39.4033333333333;13.3718304870617
2002;Yawzi;Scleractinian;12.79;16.4357127978197
2003;Tektite;CTB;16.4266666666667;9.72727886014319
2003;Tektite;Macroalgae;9.36333333333333;5.20129183776581
2003;Tektite;Scleractinian;47.0833333333333;15.146982932387
2003;Yawzi;CTB;28.06;12.811352724076
2003;Yawzi;Macroalgae;23.88;15.4093880923063
2003;Yawzi;Scleractinian;12.2966666666667;15.5724000615885
2004;Tektite;CTB;10.2733333333333;6.33544671333216
2004;Tektite;Macroalgae;13.77;10.2597354943387
2004;Tektite;Scleractinian;40.7566666666667;14.938995103843
2004;Yawzi;CTB;14.3666666666667;14.3978286996466
2004;Yawzi;Macroalgae;20.5866666666667;16.9060840575492
2004;Yawzi;Scleractinian;11.6766666666667;15.5202355859593
2005;Tektite;CTB;33.2666666666667;9.5005746952608
2005;Tektite;Macroalgae;19.0466666666667;9.05449910392555
2005;Tektite;Scleractinian;41.97;14.2488511333612
2005;Yawzi;CTB;39.3;15.7335792889406
2005;Yawzi;Macroalgae;28.1866666666667;16.6256082768334
2005;Yawzi;Scleractinian;13.8033333333333;15.4116946937491
2006;Tektite;CTB;27.94;10.6875241479864
2006;Tektite;Macroalgae;36.14;10.5178534587296
2006;Tektite;Scleractinian;34.5566666666667;12.9028380554457
2006;Yawzi;CTB;29.9366666666667;17.1193877455243
2006;Yawzi;Macroalgae;47.32;20.6732777709076
2006;Yawzi;Scleractinian;8.88333333333333;10.5550146060218
2007;Tektite;CTB;37.3733333333333;10.0585847134068
2007;Tektite;Macroalgae;35.23;10.2330819168636
2007;Tektite;Scleractinian;24.3133333333333;9.83059030512036
2007;Yawzi;CTB;55.1033333333333;17.4516175188144
2007;Yawzi;Macroalgae;26.4666666666667;10.6067425963746
2007;Yawzi;Scleractinian;6.69333333333333;9.61550232996026
2008;Tektite;CTB;49.8666666666667;11.1405854279818
2008;Tektite;Macroalgae;12.5633333333333;6.60227146562054
2008;Tektite;Scleractinian;34.8966666666667;13.7289144492208
2008;Yawzi;CTB;52.7533333333333;11.9491951347284
2008;Yawzi;Macroalgae;27.0933333333333;13.8994649694433
2008;Yawzi;Scleractinian;8.14;8.70519464418249
2009;Tektite;CTB;45.19;11.737336536264
2009;Tektite;Macroalgae;18.26;6.6870745111178
2009;Tektite;Scleractinian;30.7333333333333;12.421181390127
2009;Yawzi;CTB;36.3633333333333;13.3991374743851
2009;Yawzi;Macroalgae;40.3933333333333;15.8444145131452
2009;Yawzi;Scleractinian;7.87666666666667;9.2275331381736
2010;Tektite;CTB;34.89;14.5656267547477
2010;Tektite;Macroalgae;26.1466666666667;12.0165326725834
2010;Tektite;Scleractinian;28.0333333333333;9.06825966397816
2010;Yawzi;CTB;26.8433333333333;16.2615621112749
2010;Yawzi;Macroalgae;46.6533333333333;13.0777972766516
2010;Yawzi;Scleractinian;8.4;9.24326408983768
2011;Tektite;CTB;40.92;8.99756288841787
2011;Tektite;Macroalgae;27.6266666666667;6.50559087582966
2011;Tektite;Scleractinian;28.5466666666667;11.0513139594297
2011;Yawzi;CTB;44.24;11.1644015544482
2011;Yawzi;Macroalgae;37.7866666666667;13.0160042953316
2011;Yawzi;Scleractinian;6.74333333333333;9.03406134403659
2012;Tektite;CTB;25.0433333333333;13.504959072142
2012;Tektite;Macroalgae;35.8033333333333;7.47845103514474
2012;Tektite;Scleractinian;33.7833333333333;11.6658086712419
2012;Yawzi;CTB;43.6566666666667;16.2493646206463
2012;Yawzi;Macroalgae;42.8433333333333;13.7144445204954
2012;Yawzi;Scleractinian;7.12666666666667;9.10516841986039
2013;Tektite;CTB;37.6333333333333;9.33308291946499
2013;Tektite;Macroalgae;29.93;7.5468719256437
2013;Tektite;Scleractinian;28.3066666666667;9.53400206640941
2013;Yawzi;CTB;53.0166666666667;14.490355492494
2013;Yawzi;Macroalgae;32.8766666666667;12.2355244052417
2013;Yawzi;Scleractinian;5.63333333333333;7.45313326073664
2014;Tektite;CTB;31.2966666666667;7.45813526353575
2014;Tektite;Macroalgae;32.1566666666667;6.2788469913058
2014;Tektite;Scleractinian;27.6066666666667;8.80140793334768
2015;Tektite;CTB;21.81;8.52243894183123
2015;Tektite;Macroalgae;42.96;7.98747295068541
2015;Tektite;Scleractinian;28.3766666666667;8.92677813189574
2016;Tektite;CTB;56.7166666666667;11.7803777040711
2016;Tektite;Macroalgae;7.51;4.51742602939268
2016;Tektite;Scleractinian;30.02;10.6242533206193
2017;Tektite;CTB;17.3616666666667;8.79007706463714
2017;Tektite;Macroalgae;46.9183333333333;10.0036178483835
2017;Tektite;Scleractinian;29.2216666666667;10.1928704173374
2017;Yawzi;CTB;32.9283333333333;12.9358402617239
2017;Yawzi;Macroalgae;47.5416666666667;16.5747744997485
2017;Yawzi;Scleractinian;5.66666666666667;9.02369135385943
2018;Tektite;CTB;45.19;9.13811079849206
2018;Tektite;Macroalgae;24.5133333333333;6.23072107042766
2018;Tektite;Scleractinian;26.8433333333333;8.08999737152395
2018;Yawzi;CTB;56.49;14.2877654438793
2018;Yawzi;Macroalgae;32.49;13.810499504063
2018;Yawzi;Scleractinian;4.45666666666667;7.77053157252065
2019;Tektite;CTB;12.8266666666667;5.16386204931617
2019;Tektite;Macroalgae;49.7233333333333;7.95542249829868
2019;Tektite;Scleractinian;30.2566666666667;9.13468884143762
2019;Yawzi;CTB;36.7341666666667;16.4285900407884
2019;Yawzi;Macroalgae;42.8191666666667;19.4190251329681
2019;Yawzi;Scleractinian;5.6075;8.4065916763838
2020;Tektite;CTB;28.51;7.39684695174817
2020;Tektite;Macroalgae;37.32;7.4825498143439
2020;Tektite;Scleractinian;25.88;6.86341626004286
2020;Yawzi;CTB;42.8566666666667;8.7180622385598
2020;Yawzi;Macroalgae;36.02;12.2430951687204
2020;Yawzi;Scleractinian;3.50333333333333;5.44961139603698
